,Date,symbols,Categories,count_post,Percent_price_change,abs
77,2018-07-06,CLF,Other,0,0.4722545524436273,0.4722545524436273
78,2018-07-06,CLX,Other,0,-2.613709746833079,2.613709746833079
79,2018-07-06,CMA,Other,0,2.7587728142000025,2.7587728142000025
80,2018-07-06,CMCSA,Other,0,-0.059560621420528,0.059560621420528
81,2018-07-06,CME,Other,0,1.9323108178281343,1.9323108178281343
82,2018-07-06,CMI,Other,0,2.8538814111013,2.8538814111013
83,2018-07-06,CMS,Other,0,-3.725049120409613,3.725049120409613
84,2018-07-06,CNC,Other,0,0.1083922156079023,0.1083922156079023
85,2018-07-06,CNP,Other,0,-3.650681597233206,3.650681597233206
86,2018-07-06,COF,Other,0,3.939715793971469,3.939715793971469
87,2018-07-06,COG,Other,0,0.5937209079786762,0.5937209079786762
88,2018-07-06,COO,Other,0,0.9394309056308922,0.9394309056308922
