,id,Date,source,symbols,dayofweek,Close
128,1.0197077842947523e+18,2018-07-18,MarketBeatNews,FB,Wed,209.3600006103516
129,1.0197077953173791e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
130,1.0197083710233354e+18,2018-07-18,crackr,FB,Wed,209.3600006103516
131,1.0197085196274893e+18,2018-07-18,911NoPlaner,FB,Wed,209.3600006103516
132,1.0197088603014226e+18,2018-07-18,ElSethero,FB,Wed,209.3600006103516
133,1.0197093911242916e+18,2018-07-18,equiplore,FB,Wed,209.3600006103516
134,1.0197100742379356e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
135,1.0197102296326472e+18,2018-07-18,parrilla38jp,FB,Wed,209.3600006103516
136,1.0197107297531208e+18,2018-07-18,IamcldPatricia,FB,Wed,209.3600006103516
137,1.0197112147194143e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
138,1.0197115698890547e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
139,1.0197135318963118e+18,2018-07-18,klauskrefeld,FB,Wed,209.3600006103516
140,1.0197138494051738e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
141,1.0197146605079101e+18,2018-07-18,GerberKawasaki,FB,Wed,209.3600006103516
142,1.0197147964495626e+18,2018-07-18,ufomedia,FB,Wed,209.3600006103516
143,1.0197149877516984e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
144,1.0197151770911252e+18,2018-07-18,no_pullbacks,FB,Wed,209.3600006103516
145,1.0197153378420285e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
146,1.0197165531667374e+18,2018-07-18,rotsenwtf,FB,Wed,209.3600006103516
147,1.0197173978407363e+18,2018-07-18,TheLincolnList,FB,Wed,209.3600006103516
148,1.0197173999841157e+18,2018-07-18,misterbrito,FB,Wed,209.3600006103516
149,1.0197175284095672e+18,2018-07-18,WatchlistN,FB,Wed,209.3600006103516
150,1.0197176037726618e+18,2018-07-18,DagnyDelinquent,FB,Wed,209.3600006103516
151,1.0197176229449482e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
152,1.0197186236136735e+18,2018-07-18,mattyfurtado,FB,Wed,209.3600006103516
153,1.0197187645378929e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
154,1.0197187703051756e+18,2018-07-18,kailarichmond15,FB,Wed,209.3600006103516
155,1.0197187869104333e+18,2018-07-18,timothysykes,FB,Wed,209.3600006103516
156,1.0197190952546918e+18,2018-07-18,BeefEnt,FB,Wed,209.3600006103516
157,1.0197191177571246e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
158,1.0197194721422664e+18,2018-07-18,FB__Tweets,FB,Wed,209.3600006103516
159,1.0197197723705016e+18,2018-07-18,loriBra16435608,FB,Wed,209.3600006103516
160,1.0197198362330194e+18,2018-07-18,FemiAbodunde,FB,Wed,209.3600006103516
161,1.0197198847276196e+18,2018-07-18,FemiAbodunde,FB,Wed,209.3600006103516
162,1.019720579916714e+18,2018-07-18,Snowripper1106,FB,Wed,209.3600006103516
163,1.0197210391133102e+18,2018-07-18,Hotflashes10,FB,Wed,209.3600006103516
164,1.0197214620585533e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
165,1.019721732557439e+18,2018-07-18,EsmeraldaDoll,FB,Wed,209.3600006103516
166,1.0197221728421069e+18,2018-07-18,FB__Tweets,FB,Wed,209.3600006103516
167,1.0197225392688988e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
168,1.0197228870690775e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
169,1.0197247553211392e+18,2018-07-18,TopTickrs,FB,Wed,209.3600006103516
170,1.0197248466437612e+18,2018-07-18,Rashad24Harris,FB,Wed,209.3600006103516
171,1.0197251765299732e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
172,1.0197253062681436e+18,2018-07-18,BillBrewsterSCG,FB,Wed,209.3600006103516
173,1.0197255124727521e+18,2018-07-18,ThePeoplesCube,FB,Wed,209.3600006103516
174,1.0197263130225787e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
