,id,Date,source,symbols,dayofweek
157,1016243918848057300,2018-07-09,ZolmaxNews,OKE,Mon
158,1016244029103714300,2018-07-09,ConsumerFeed,OKE,Mon
159,1016244071432708100,2018-07-09,TheMarketsDaily,AKAM,Mon
160,1016246427926847500,2018-07-09,ZolmaxNews,DLTR,Mon
161,1016247757491851300,2018-07-09,ThisLincolnian,GNTX,Mon
162,1016247770116653000,2018-07-09,ThisLincolnian,DLTR,Mon
163,1016248165316644900,2018-07-09,ledgerzette,DCIX,Mon
164,1016249613181841400,2018-07-09,1MinuteStock,FBHS,Mon
165,1016250115839758300,2018-07-09,1MinuteStock,FBHS,Mon
166,1016251974487027700,2018-07-09,Boutonski,FLR,Mon
167,1016253106252931100,2018-07-09,TheMarketsDaily,ZBH,Mon
168,1016254169903136800,2018-07-09,dakotafinancial,IRM,Mon
169,1016254638113329200,2018-07-09,shortvolumes,ODP,Mon
170,1016254973284413400,2018-07-09,OlympiaReport,BXP,Mon
171,1016256221228257300,2018-07-09,OlympiaReport,NVAX,Mon
172,1016256494273204200,2018-07-09,WeekHerald,NVAX,Mon
173,1016256879851397100,2018-07-09,dakotafinancial,MAA,Mon
174,1016257323960954900,2018-07-09,MarketCurrents,AJG,Mon
175,1016260432762302500,2018-07-09,1MinuteStock,FBHS,Mon
176,1016262407482740700,2018-07-09,optioncharts,KIM,Mon
177,1016262633710870500,2018-07-09,MareaInformativ,HIBB,Mon
178,1016262650181931000,2018-07-09,MareaInformativ,JEC,Mon
179,1016262896005738500,2018-07-09,GerryRichards78,NVAX,Mon
180,1016263807835000800,2018-07-09,MareaInformativ,SLM,Mon
181,1016264795044110300,2018-07-09,MareaInformativ,RE,Mon
182,1016265297664372700,2018-07-09,EnterpriseLeade,INFO,Mon
183,1016265754310791200,2018-07-09,whatsonthorold2,EXPD,Mon
184,1016266289822818300,2018-07-09,MareaInformativ,MTD,Mon
185,1016266479879229400,2018-07-09,reurope_stock,EXPD,Mon
186,1016267105740705800,2018-07-09,bibeypost_stock,EXPD,Mon
187,1016267158106583000,2018-07-09,OLEGEFF,HSY,Mon
188,1016267444908904400,2018-07-09,OLEGEFF,OKE,Mon
189,1016268483556933600,2018-07-09,Allstocknews,IRM,Mon
190,1016268485591162900,2018-07-09,1MinuteStock,AVY,Mon
191,1016269550067900400,2018-07-09,from121rus,IP,Mon
192,1016269912829030400,2018-07-09,optioncharts,AEE,Mon
193,1016271672767377400,2018-07-09,EnterpriseLeade,CNP,Mon
194,1016272745850646500,2018-07-09,OLEGEFF,DLTR,Mon
195,1016275029439471600,2018-07-09,pnani456,ARRY,Mon
196,1016275221567991800,2018-07-09,whatsonthorold2,ARRY,Mon
197,1016275366443475000,2018-07-09,MareaInformativ,PAH,Mon
198,1016275423129456600,2018-07-09,MareaInformativ,IP,Mon
199,1016275507330125800,2018-07-09,reurope_stock,ARRY,Mon
200,1016275665102962700,2018-07-09,EnterpriseLeade,LH,Mon
201,1016275972625055700,2018-07-09,LargeVoidBot,FBHS,Mon
202,1016277000930189300,2018-07-09,whatsonthorold2,WYN,Mon
203,1016277602116554800,2018-07-09,reurope_stock,WYN,Mon
204,1016277790302273500,2018-07-09,bibeypost_stock,WYN,Mon
205,1016277859181228000,2018-07-09,ZolmaxNews,PAH,Mon
206,1016278275155529700,2018-07-09,optioncharts,AMG,Mon
207,1016279590749327400,2018-07-09,EnterpriseLeade,AON,Mon
208,1016280555225337900,2018-07-09,dailypoliticaln,CNP,Mon
209,1016280676428116000,2018-07-09,dakotafinancial,CNP,Mon
210,1016282555878961200,2018-07-09,AviseAnalytics,WYN,Mon
211,1016282577982771200,2018-07-09,1MinuteStock,AVY,Mon
212,1016285433620258800,2018-07-09,WatchlistN,ALLE,Mon
213,1016285443296583700,2018-07-09,MareaInformativ,ALLE,Mon
214,1016286070080704500,2018-07-09,optioncharts,HRS,Mon
215,1016286134266146800,2018-07-09,TickerReport,ALLE,Mon
216,1016286959315161100,2018-07-09,whatsonthorold2,HCA,Mon
217,1016287215457062900,2018-07-09,reurope_stock,HCA,Mon
218,1016287332218097700,2018-07-09,bibeypost_stock,HCA,Mon
219,1016287383430598700,2018-07-09,optioncharts,TROW,Mon
220,1016288107283583000,2018-07-09,3TriggerTrader,HRS,Mon
221,1016288279942049800,2018-07-09,3TriggerTrader,HRS,Mon
222,1016288366332006400,2018-07-09,1MinuteStock,AVY,Mon
223,1016288392580083700,2018-07-09,3TriggerTrader,HRS,Mon
224,1016288498544988200,2018-07-09,3TriggerTrader,HRS,Mon
225,1016288901055606800,2018-07-09,dispatchtribune,ECL,Mon
226,1016289710224920600,2018-07-09,RatingsNetwork,HCA,Mon
227,1016290500184363000,2018-07-09,whatsonthorold2,HSY,Mon
228,1016290782255439900,2018-07-09,reurope_stock,HSY,Mon
229,1016290872596598800,2018-07-09,traderead,AVY,Mon
230,1016290911976861700,2018-07-09,OptionHacker,ARRY,Mon
231,1016290994386501600,2018-07-09,bibeypost_stock,HSY,Mon
232,1016291688090882000,2018-07-09,whatsonthorold2,LUK,Mon
233,1016292221136572400,2018-07-09,reurope_stock,LUK,Mon
234,1016292292725039100,2018-07-09,bibeypost_stock,LUK,Mon
235,1016292658191495200,2018-07-09,Rogue1187,WM,Mon
236,1016293701751107600,2018-07-09,EagleBrookCap,JEC,Mon
237,1016294329109786600,2018-07-09,kelli_reeser,JEC,Mon
238,1016294911040278500,2018-07-09,MarketRealist,OKE,Mon
239,1016295152011436000,2018-07-09,TheStreet,AZO,Mon
240,1016295507868741600,2018-07-09,KLNorvell,AZO,Mon
241,1016295966960480300,2018-07-09,JSnoBuni,AZO,Mon
242,1016296482675314700,2018-07-09,JP_Gravitt,OKE,Mon
243,1016296594000498700,2018-07-09,JP_Gravitt,AZO,Mon
244,1016299002957049900,2018-07-09,OlympiaReport,ETR,Mon
245,1016299152622411800,2018-07-09,EnterpriseLeade,ECL,Mon
246,1016299681943519200,2018-07-09,WeekHerald,ETR,Mon
247,1016299827867586600,2018-07-09,SADIFAnalytics,HIG,Mon
248,1016299879877005300,2018-07-09,Allstocknews,KIM,Mon
249,1016301282485682200,2018-07-09,gg_Pissarro,IP,Mon
250,1016302926397165600,2018-07-09,salomon69479215,ARRY,Mon
251,1016303831532097500,2018-07-09,salomon69479215,ARRY,Mon
252,1016304348303724500,2018-07-09,MarketCurrents,KIM,Mon
253,1016304945941774300,2018-07-09,BrandonVanZee,UDR,Mon
254,1016305077139599400,2018-07-09,Market_Scholars,UDR,Mon
255,1016305576601636900,2018-07-09,cfromhertz,ARRY,Mon
256,1016305983012986900,2018-07-09,StocksPredictr,SRCL,Mon
257,1016305988050141200,2018-07-09,SAlphaTech,IRM,Mon
258,1016306490074849300,2018-07-09,DailyStockPlays,DLTR,Mon
259,1016306530881192000,2018-07-09,MisterRayW,UDR,Mon
260,1016306565165412400,2018-07-09,DailyStockPlays,HSY,Mon
261,1016306593191821300,2018-07-09,SADIFAnalytics,HP,Mon
262,1016306603149017100,2018-07-09,DailyStockPlays,AES,Mon
263,1016306688637354000,2018-07-09,KennethMilesTa2,DCIX,Mon
